date,target
2018/1/1,0
2018/1/2,0
2018/1/3,74
2018/1/4,60
2018/1/5,75
2018/1/6,69
2018/1/7,75
2018/1/8,77
2018/1/9,77
2018/1/10,74
2018/1/11,42
2018/1/12,47
2018/1/13,66
2018/1/14,0
2018/1/15,77
2018/1/16,66
2018/1/17,73
2018/1/18,59
2018/1/19,46
2018/1/20,77
2018/1/21,43
2018/1/22,77
2018/1/23,45
2018/1/24,45
2018/1/25,41
2018/1/26,77
2018/1/27,45
2018/1/28,77
2018/1/29,81
2018/1/30,77
2018/1/31,0
2018/2/1,0
2018/2/2,85
2018/2/3,77
2018/2/4,85
2018/2/5,0
2018/2/6,0
2018/2/7,77
2018/2/8,77
2018/2/9,77
2018/2/10,77
2018/2/11,81
2018/2/12,0
2018/2/13,77
2018/2/14,77
2018/2/15,0
2018/2/16,0
2018/2/17,77
2018/2/18,0
2018/2/19,0
2018/2/20,77
2018/2/21,74
2018/2/22,77
2018/2/23,85
2018/2/24,77
2018/2/25,77
2018/2/26,77
2018/2/27,77
2018/2/28,47
2018/3/1,75
2018/3/2,45
2018/3/3,77
2018/3/4,46
2018/3/5,45
2018/3/6,65
2018/3/7,46
2018/3/8,69
2018/3/9,45
2018/3/10,69
2018/3/11,45
2018/3/12,69
2018/3/13,75
2018/3/14,69
2018/3/15,49
2018/3/16,69
2018/3/17,45
2018/3/18,68
2018/3/19,70
2018/3/20,75
2018/3/21,45
2018/3/22,69
2018/3/23,69
2018/3/24,77
2018/3/25,69
2018/3/26,45
2018/3/27,65
2018/3/28,69
2018/3/29,77
2018/3/30,69
2018/3/31,77
2018/4/1,46
2018/4/2,57
2018/4/3,45
2018/4/4,45
2018/4/5,77
2018/4/6,77
2018/4/7,67
2018/4/8,77
2018/4/9,65
2018/4/10,45
2018/4/11,69
2018/4/12,69
2018/4/13,65
2018/4/14,73
2018/4/15,44
2018/4/16,45
2018/4/17,69
2018/4/18,69
2018/4/19,45
2018/4/20,81
2018/4/21,43
2018/4/22,68
2018/4/23,45
2018/4/24,73
2018/4/25,45
2018/4/26,69
2018/4/27,42
2018/4/28,45
2018/4/29,69
2018/4/30,45
2018/5/1,81
2018/5/2,69
2018/5/3,61
2018/5/4,81
2018/5/5,65
2018/5/6,45
2018/5/7,45
2018/5/8,45
2018/5/9,69
2018/5/10,69
2018/5/11,41
2018/5/12,66
2018/5/13,45
2018/5/14,69
2018/5/15,69
2018/5/16,41
2018/5/17,45
2018/5/18,53
2018/5/19,69
2018/5/20,61
2018/5/21,65
2018/5/22,57
2018/5/23,69
2018/5/24,61
2018/5/25,49
2018/5/26,57
2018/5/27,53
2018/5/28,69
2018/5/29,70
2018/5/30,57
2018/5/31,61
2018/6/1,49
2018/6/2,58
2018/6/3,73
2018/6/4,45
2018/6/5,45
2018/6/6,44
2018/6/7,45
2018/6/8,45
2018/6/9,45
2018/6/10,0
2018/6/11,65
2018/6/12,57
2018/6/13,45
2018/6/14,69
2018/6/15,45
2018/6/16,61
2018/6/17,61
2018/6/18,1
2018/6/19,45
2018/6/20,61
2018/6/21,61
2018/6/22,45
2018/6/23,45
2018/6/24,45
2018/6/25,61
2018/6/26,69
2018/6/27,61
2018/6/28,69
2018/6/29,61
